,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,position_simple,player_id
120,Blackburn Rovers,Steve Agnew,27.0,Central Midfield,Leicester,£338Th.,out,Winter,0.33799999999999997,Premier League,1992,1992/1993,midfielder,10976.0
122,Burgos CF,Michel Boerebach,29.0,Midfielder,Roda JC,£327Th.,in,Summer,0.327,Primera Division,1992,1992/1993,midfielder,88.0
123,Celta de Vigo,Santiago Cañizares,22.0,Goalkeeper,Real Madrid,Loan fee:£308Th.,in,Summer,0.308,Primera Division,1992,1992/1993,goalkeeper,89.0
124,Deportivo de La Coruña,Mauro Silva,24.0,Defensive Midfield,Bragantino,£1.44m,in,Summer,1.44,Primera Division,1992,1992/1993,midfielder,90.0
125,Deportivo de La Coruña,Bebeto,28.0,Centre-Forward,Vasco da Gama,£630Th.,in,Summer,0.63,Primera Division,1992,1992/1993,attacker,10977.0
126,Real Madrid,Iván Zamorano,25.0,Centre-Forward,Sevilla FC,£3.15m,in,Summer,3.15,Primera Division,1992,1992/1993,attacker,10978.0
131,FC Barcelona,Pablo Alfaro,23.0,Centre-Back,Real Zaragoza,£1.35m,in,Summer,1.35,Primera Division,1992,1992/1993,defender,93.0
132,FC Barcelona,Goran Vucevic,21.0,Central Midfield,Hajduk Split,£450Th.,in,Summer,0.45,Primera Division,1992,1992/1993,midfielder,94.0
133,1.FC Saarbrücken,Thomas Stratos,25.0,Defensive Midfield,Hamburger SV,£135Th.,in,Summer,0.135,1 Bundesliga,1992,1992/1993,midfielder,95.0
134,Bayer 05 Uerdingen,Dirk Bremser,26.0,Right Midfield,MSV Duisburg,£338Th.,in,Summer,0.33799999999999997,1 Bundesliga,1992,1992/1993,midfielder,96.0
135,Bayer 05 Uerdingen,Mario Posch,24.0,Defender,FC Wacker,£270Th.,in,Summer,0.27,1 Bundesliga,1992,1992/1993,defender,10979.0
136,SV Werder Bremen,Andreas Herzog,23.0,Attacking Midfield,Rapid Vienna,£1.35m,in,Summer,1.35,1 Bundesliga,1992,1992/1993,midfielder,10980.0
137,SV Werder Bremen,Dietmar Beiersdorfer,28.0,Centre-Back,Hamburger SV,£900Th.,in,Summer,0.9,1 Bundesliga,1992,1992/1993,defender,10981.0
138,SV Werder Bremen,Hans-Jürgen Gundelach,28.0,Goalkeeper,FC 08 Homburg,£158Th.,in,Summer,0.158,1 Bundesliga,1992,1992/1993,goalkeeper,100.0
139,SV Werder Bremen,Oliver Freund,22.0,Left Midfield,SC Freiburg,£585Th.,out,Summer,0.585,1 Bundesliga,1992,1992/1993,midfielder,101.0
140,VfB Stuttgart,André Golke,27.0,Attacking Midfield,1.FC Nuremberg,£1.13m,in,Summer,1.13,1 Bundesliga,1992,1992/1993,midfielder,10982.0
142,Karlsruher SC,Manfred Bender,26.0,Attacking Midfield,Bayern Munich,£630Th.,in,Summer,0.63,1 Bundesliga,1992,1992/1993,midfielder,10983.0
144,Hamburger SV,Yordan Letchkov,24.0,Central Midfield,CSKA Sofia,£405Th.,in,Summer,0.405,1 Bundesliga,1992,1992/1993,midfielder,10984.0
145,Hamburger SV,Pavel Dotchev,26.0,Sweeper,CSKA Sofia,£180Th.,in,Summer,0.18,1 Bundesliga,1992,1992/1993,defender,105.0
148,Bayern Munich,Thomas Helmer,27.0,Centre-Back,Bor. Dortmund,£3.38m,in,Summer,3.38,1 Bundesliga,1992,1992/1993,defender,106.0
149,Bayern Munich,Jorginho,27.0,Right-Back,Bay. Leverkusen,£2.52m,in,Summer,2.52,1 Bundesliga,1992,1992/1993,defender,10985.0
150,Bayern Munich,Mehmet Scholl,21.0,Attacking Midfield,Karlsruher SC,£2.25m,in,Summer,2.25,1 Bundesliga,1992,1992/1993,midfielder,108.0
151,Bayern Munich,Lothar Matthäus,31.0,Defensive Midfield,Inter,£1.80m,in,Summer,1.8,1 Bundesliga,1992,1992/1993,midfielder,109.0
155,Borussia Dortmund,Stefan Reuter,25.0,Right Midfield,Juventus,£1.89m,in,Summer,1.89,1 Bundesliga,1992,1992/1993,midfielder,110.0
157,Borussia Dortmund,Peter Quallo,20.0,Centre-Back,F. Düsseldorf,£900Th.,out,Summer,0.9,1 Bundesliga,1992,1992/1993,defender,111.0
